Region,Soil_Type,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Climate,Days_to_Harvest,Crop,Rotation_Crop,Yield_tons_per_hectare
East,Clay,512.9431142776324,24.352013276896844,1,Sunny,171,Wheat,Lentil,4.576310068967064
East,Clay,1553.7030523458006,23.190918425363435,1,Rainy,142,Rice,Green Gram,7.89476065248865
South,Silt,1057.5587600166443,28.242933234856032,1,Rainy,94,Rice,Green Gram,8.238619195310378
East,Loam,728.4531895152417,23.56396256984635,1,Sunny,118,Maize,Sweet Potato,8.619228019525282
South,Sandy Loam,286.6069512888549,13.102890283107495,1,Sunny,138,Barley,Mustard,3.744912942823011
North,Sandy Loam,863.0774825394185,25.918887388212845,1,Rainy,95,Soybean,Barley,5.860647632626106
East,Black Soil,749.2344926581727,28.302525290190985,1,Sunny,179,Cotton,Green Gram,6.658884260654555
South,Loam,1093.674211126016,32.44211656943298,1,Sunny,152,Cotton,Soybean,6.637729364164494
North,Loam,847.4396512757842,22.235958385194525,1,Rainy,147,Soybean,Barley,6.533905707396855
West,Silt,1924.643330223596,33.786735729179895,1,Rainy,125,Rice,Green Gram,7.770845670196417
North,Clay,476.69636810365796,24.93747062544056,1,Sunny,173,Wheat,Lentil,4.946604390832447
South,Clay,682.2627011142852,26.20132597801537,1,Rainy,147,Soybean,Barley,6.035116745658596
South,Loam,889.7579230664667,29.86210744479603,1,Rainy,106,Soybean,Wheat,6.123322635993277
West,Loam,553.2740500894998,20.76200379599163,1,Rainy,107,Soybean,Sorghum,6.33913470432415
South,Silt,759.8191668501224,18.406968030955703,1,Sunny,112,Maize,Soybean,9.25797236560158
East,Loam,749.7469799856433,15.894841734682887,1,Sunny,178,Wheat,Lentil,4.632593298755749
East,Loam,464.04424315842374,10.845632449763906,1,Sunny,125,Wheat,Soybean,5.812618682416208
East,Loam,951.0897193952832,32.26120844071848,1,Sunny,159,Cotton,Groundnut,6.618935381605418
South,Loam,872.4306163552334,19.0926195167632,1,Sunny,181,Wheat,Chickpea,5.289828924863753
East,Sandy Loam,768.6292782371198,25.203077009037933,1,Rainy,92,Soybean,Sorghum,6.124162974984111
North,Clay,850.6614410633381,24.03482866212397,1,Rainy,136,Soybean,Sorghum,6.3754468070270836
East,Sand,770.9453176029879,23.555373408875628,1,Sunny,91,Maize,Cowpea,8.982161731954365
East,Clay,576.8786646926028,19.11680198968845,1,Sunny,152,Barley,Mustard,4.208430729945223
East,Loam,784.8561870972926,19.323661328361343,1,Sunny,113,Maize,Soybean,8.750360681378497
South,Silt,1492.6180939928695,24.931274154312625,1,Rainy,132,Rice,Mustard,7.878826627170616
South,Loam,653.5547844577053,18.16150132341734,1,Sunny,148,Barley,Mustard,3.3646088900103006
North,Loam,405.287182520074,16.519049788274884,1,Sunny,141,Barley,Lentil,4.083138812939932
South,Clay,645.7079444192302,25.034172708548567,1,Sunny,116,Soybean,Wheat,5.573435980285039
East,Sandy Loam,694.1866096297163,28.772859652420728,1,Sunny,166,Cotton,Groundnut,6.952818114716268
North,Clay,491.46579069429964,24.01254286839663,1,Sunny,133,Barley,Pea,4.291221162911119
North,Silt,511.00496086717936,20.271932499096188,1,Sunny,96,Maize,Groundnut,9.406884279802865
North,Clay,678.9649467293818,25.32617266455023,1,Sunny,114,Soybean,Sorghum,5.397355360882349
North,Loam,353.52259722723375,18.03003346023285,1,Sunny,144,Wheat,Chickpea,4.816896805708817
East,Loam,649.5326596787172,18.782282592786814,1,Sunny,104,Maize,Cowpea,9.144277700611196
East,Clay,613.5103623194898,23.63082296398635,1,Rainy,123,Soybean,Sorghum,6.342611974690826
North,Clay,1007.5343631340747,23.379991965687925,1,Rainy,159,Rice,Green Gram,8.338627318644884
South,Sandy Loam,704.0241571768529,33.96765424626425,1,Sunny,172,Cotton,Green Gram,6.934908216559916
West,Sandy Loam,858.6441051896084,25.759984178056598,1,Sunny,93,Soybean,Sorghum,6.0749748979942195
East,Sandy Loam,1157.6255934765513,30.5676289301393,1,Sunny,157,Cotton,Groundnut,7.049472026852221
South,Sandy Loam,1026.571487302049,26.995069273383198,1,Sunny,169,Cotton,Soybean,7.237070118825561
West,Sandy Loam,948.7429328535674,26.543627152742022,1,Sunny,153,Cotton,Soybean,6.5844129693740125
West,Silt,664.5809353814459,22.940297819000797,1,Sunny,91,Maize,Sweet Potato,8.77243965912249
North,Clay,1116.6960641416813,27.097493015778383,1,Rainy,127,Rice,Green Gram,7.900988700079898
South,Silt,1124.2972234855447,30.963012128054665,1,Rainy,98,Rice,Chickpea,7.247729333532438
West,Loam,683.8634259757737,32.9526731185989,1,Sunny,163,Cotton,Wheat,6.327921740796697
East,Loam,1633.7585637201773,33.61799195693774,1,Rainy,178,Rice,Lentil,8.271288739212189
West,Black Soil,974.4609265091026,30.39781061914633,1,Sunny,164,Cotton,Soybean,7.131787268421386
South,Loam,771.9416332893641,23.61814196322593,1,Sunny,108,Maize,Groundnut,8.962613667728505
East,Sandy Loam,748.0291023714054,25.334610919763215,1,Sunny,116,Soybean,Barley,6.750095735962666
North,Loam,1743.946292572677,20.50298652103669,1,Rainy,175,Rice,Chickpea,8.63922432250244
South,Clay,621.8888108907569,15.682323483353736,1,Sunny,207,Wheat,Soybean,5.194582656339921
North,Loam,1408.9551770854932,31.578229708973677,1,Rainy,116,Rice,Green Gram,8.163951048528201
East,Sand,603.7087980511758,19.63437945121283,1,Sunny,99,Maize,Cowpea,9.100634742727895
West,Silt,1100.7946030158864,23.840232977804934,1,Rainy,149,Rice,Green Gram,8.497251466072822
North,Loam,782.8954537253594,21.525390429142615,1,Rainy,120,Soybean,Maize,5.146242604856006
West,Loam,1155.3411077440658,29.508393714041322,1,Sunny,163,Cotton,Soybean,7.823739285408269
East,Loam,799.2878475929633,28.11444264045641,1,Sunny,168,Cotton,Wheat,6.987200092179807
North,Silt,1802.8534485980115,20.069480345069042,1,Rainy,130,Rice,Green Gram,7.935564296528866
South,Sandy Loam,459.5650550434659,18.250880715157955,1,Sunny,146,Barley,Lentil,3.6199148943800057
East,Sandy Loam,329.3741439278005,18.478781045613236,1,Sunny,125,Barley,Lentil,4.2772398001847325
South,Sandy Loam,255.89250546475014,20.62598583621724,1,Sunny,126,Barley,Lentil,4.109733045222568
South,Black Soil,1198.1245511075685,30.021950103312427,1,Sunny,150,Cotton,Wheat,6.817036947787606
West,Clay,407.22414957219985,18.08701376973793,1,Sunny,168,Barley,Lentil,4.214290760732502
South,Loam,598.9874275127547,17.89275485172436,1,Sunny,121,Barley,Pea,3.841525807813554
East,Black Soil,661.7888875987893,28.34362811310482,1,Sunny,172,Cotton,Green Gram,7.025548075467751
South,Sandy Loam,433.9303769941434,12.330022623584483,1,Sunny,147,Barley,Mustard,4.374896170757549
North,Loam,452.3331384259826,12.941696495401793,1,Sunny,191,Wheat,Chickpea,4.978460747427523
West,Loam,732.487857786304,22.079724510368578,1,Sunny,207,Wheat,Lentil,5.907059044132148
North,Sandy Loam,775.888638156608,33.9633581852112,1,Sunny,156,Cotton,Groundnut,6.293394786000495
West,Loam,644.3998341438822,20.358032326985292,1,Sunny,137,Barley,Pea,4.535385274583555
South,Clay,420.86158367527014,19.6738342526925,1,Sunny,131,Barley,Mustard,4.0335605600403746
North,Sandy Loam,1116.640811984833,27.195105250809586,1,Sunny,175,Cotton,Groundnut,6.893996700708427
West,Black Soil,1136.731336136455,32.998552559473154,1,Sunny,166,Cotton,Groundnut,6.291146667705063
North,Loam,577.3663056299607,19.25420466665542,1,Sunny,100,Maize,Potato,9.032848512361717
East,Loam,505.51720296424,26.228689259044494,1,Sunny,110,Maize,Cowpea,8.85057169620146
North,Loam,598.4789363879344,20.803038724484438,1,Sunny,205,Wheat,Mustard,4.530182196005499
West,Sandy Loam,520.232587195144,20.64547676910132,1,Sunny,126,Barley,Pea,4.333182470817033
South,Clay,668.8144238202749,23.538713765612496,1,Rainy,132,Soybean,Wheat,5.685950777391515
North,Loam,751.1236972109089,21.934740567215194,1,Sunny,93,Maize,Soybean,9.331937528129863
South,Black Soil,998.2026992175888,34.36829739324758,1,Sunny,154,Cotton,Wheat,6.246123513652041
East,Sandy Loam,836.6118641240173,28.46407849314557,1,Sunny,134,Soybean,Sorghum,6.1051560945627825
North,Clay,1351.5401611342188,26.191903259101284,1,Rainy,150,Rice,Green Gram,8.057967571029286
East,Sandy Loam,609.7371455360407,21.031054121107548,1,Sunny,149,Barley,Pea,3.951204563809114
East,Sandy Loam,884.8395143056471,27.900135587918562,1,Sunny,144,Soybean,Wheat,5.727033876216978
West,Clay,612.9525165376524,20.564183767239328,1,Sunny,173,Barley,Mustard,4.098863660424505
West,Loam,715.9051268741548,10.77393709988065,1,Sunny,145,Wheat,Pea,5.587617256535766
North,Silt,774.6464892764126,18.305513807272188,1,Sunny,110,Maize,Soybean,8.307881049032915
East,Loam,463.3963974958587,23.206554462861074,1,Sunny,158,Barley,Chickpea,4.148015947393933
South,Loam,518.8183496743835,18.41015791005271,1,Sunny,164,Wheat,Pea,5.415263489158182
East,Sand,519.6069022396828,20.837613040475492,1,Sunny,106,Maize,Potato,9.109475667771033
North,Loam,684.7589564546913,20.096635272782706,1,Sunny,112,Maize,Groundnut,8.891368284751316
North,Silt,1939.0676985128962,31.981748536604982,1,Rainy,128,Rice,Chickpea,8.117900104382837
South,Clay,1479.7813268565048,28.711358108409918,1,Rainy,99,Rice,Chickpea,7.839123784444404
North,Silt,1003.3463620429792,27.009661498064787,1,Rainy,119,Rice,Chickpea,7.529915871505899
West,Loam,846.2034612345205,10.676510158304847,1,Sunny,134,Wheat,Chickpea,4.5160676978372125
South,Loam,603.8552564869984,13.162343030059374,1,Sunny,125,Barley,Chickpea,4.823850329853575
South,Loam,695.1332094160116,21.663586697617113,1,Sunny,123,Barley,Chickpea,4.239405971708733
North,Black Soil,907.6131066099051,27.306698117177586,1,Sunny,151,Cotton,Soybean,6.40692447121443
West,Sandy Loam,610.3463592084438,20.187112998949992,1,Sunny,142,Barley,Lentil,4.1155344391067334
North,Loam,537.7452113415952,21.37357713556137,1,Sunny,181,Wheat,Chickpea,4.969729031330473
North,Loam,922.1846537360482,30.929399348417032,1,Sunny,163,Cotton,Soybean,6.968947700028135
East,Loam,649.9366359410398,24.423469476986796,1,Sunny,131,Barley,Pea,4.4647580553639
East,Loam,1281.3909605775268,23.789736409413276,1,Rainy,127,Rice,Mustard,7.744497874522923
South,Loam,566.0549605849434,24.149328872936366,1,Sunny,94,Maize,Sweet Potato,9.346353441062742
North,Black Soil,1094.8085795550896,28.47809207902193,1,Sunny,151,Cotton,Wheat,6.832760234165212
West,Black Soil,1120.8964824309282,27.452855322553347,1,Sunny,176,Cotton,Green Gram,6.49440898407531
North,Clay,1680.1407717603004,29.279170673227764,1,Rainy,127,Rice,Mustard,8.039475864492001
North,Sand,763.7214440684395,18.046306536792432,1,Sunny,100,Maize,Sweet Potato,8.904268152339917
South,Clay,802.6543215139739,22.58688330697908,1,Rainy,121,Soybean,Wheat,6.598113096403166
West,Loam,526.0172171920792,10.136086069790874,1,Sunny,154,Wheat,Lentil,5.302294481178139
East,Sand,779.6084316530053,18.922587551916113,1,Sunny,93,Maize,Potato,8.755722781405984
West,Loam,596.942931639461,21.21143605983418,1,Sunny,173,Barley,Lentil,3.1326148783166525
South,Silt,792.0466907532191,26.719900697571223,1,Sunny,93,Maize,Groundnut,8.888349436059656
East,Clay,1323.6102191495413,27.329647856069986,1,Rainy,140,Rice,Green Gram,8.129198082983253
South,Loam,1166.582180974698,26.02193619693719,1,Sunny,158,Cotton,Green Gram,7.352944862011759
West,Sandy Loam,597.770251007562,14.990697879408641,1,Sunny,130,Barley,Chickpea,4.831290975972425
North,Loam,863.8098043791274,28.57360092092499,1,Rainy,95,Soybean,Sorghum,6.2581928503084985
South,Clay,734.6536035684702,21.187555180464464,1,Sunny,154,Wheat,Chickpea,5.020193169099647
West,Sandy Loam,887.2773711658887,21.855255157031213,1,Sunny,118,Soybean,Wheat,5.607351672766395
West,Sand,687.8660964894246,19.181203899141487,1,Sunny,110,Maize,Potato,9.152970138290431
South,Clay,658.9963590734562,19.10959672394007,1,Sunny,203,Wheat,Soybean,4.783952815026933
East,Clay,732.7885607657595,22.689934044350977,1,Rainy,97,Soybean,Sorghum,6.133932050070469
South,Silt,1392.4935564066848,27.199082520756853,1,Rainy,127,Rice,Mustard,8.414043125175716
South,Loam,515.8475301393429,24.80506947257829,1,Rainy,130,Soybean,Wheat,5.67369690633683
South,Loam,935.7892100921484,25.097708474191837,1,Sunny,177,Cotton,Soybean,6.605578142529544
South,Clay,1824.5140468968339,25.36702026392407,1,Rainy,155,Rice,Chickpea,8.257005817398824
East,Silt,512.3550485837815,24.03346912518971,1,Sunny,97,Maize,Groundnut,9.020441269413098
South,Loam,331.18277019088345,18.119445029516058,1,Sunny,195,Wheat,Pea,5.408727386155562
East,Clay,547.3690532346628,19.18901888369546,1,Sunny,125,Barley,Pea,4.264736384867847
West,Clay,563.1643298937231,20.872398398110874,1,Sunny,131,Wheat,Soybean,5.031328246705391
East,Sand,641.0547778089995,24.6985115903546,1,Sunny,118,Maize,Sweet Potato,9.156903491954015
South,Silt,695.978905771199,20.99083162819598,1,Sunny,113,Maize,Soybean,8.574803336336226
East,Loam,282.4892840406291,12.398482528675478,1,Sunny,152,Barley,Chickpea,4.330895462147697
North,Loam,603.7804977640889,21.339348866861425,1,Sunny,109,Maize,Potato,8.90714068753493
West,Clay,735.1545962490819,17.300034121370544,1,Sunny,185,Wheat,Pea,5.447965433437741
East,Sandy Loam,660.5635055275109,14.738608457073665,1,Sunny,164,Barley,Pea,4.364673242507802
South,Sandy Loam,330.8573989916089,15.088063224010408,1,Sunny,133,Barley,Pea,4.035362046079069
North,Silt,1097.393392553552,26.075311986204824,1,Rainy,103,Rice,Mustard,8.242036178351821
North,Black Soil,787.2888340178682,28.99045946137111,1,Sunny,152,Cotton,Soybean,6.597443037470156
West,Loam,594.8111428433344,22.34674038261551,1,Rainy,92,Soybean,Maize,5.689531853643558
West,Silt,543.7269704734255,22.044904516923637,1,Sunny,97,Maize,Groundnut,9.201111136926851
West,Loam,963.3228945869297,28.567320530400018,1,Sunny,161,Cotton,Soybean,7.487175923957233
East,Sandy Loam,723.2560998375452,25.399058395022124,1,Rainy,139,Soybean,Maize,5.5882563840903465
South,Loam,756.0011867347655,22.2470117697268,1,Sunny,142,Soybean,Sorghum,5.8233909136651425
West,Sandy Loam,838.4273930786405,29.798970815920732,1,Sunny,176,Cotton,Green Gram,6.340510447255758
North,Loam,1454.7398556338592,27.733940428688754,1,Rainy,139,Rice,Green Gram,7.806515512302417
North,Sandy Loam,721.1120712737691,31.734324333249173,1,Sunny,167,Cotton,Soybean,6.7665028340145446
North,Black Soil,706.2898736684315,31.926259522261645,1,Sunny,172,Cotton,Green Gram,7.6278622477636695
South,Loam,749.2631574025116,25.78147952359533,1,Sunny,106,Maize,Potato,8.908620190772977
North,Loam,586.2700609590869,26.58885470232657,1,Sunny,137,Soybean,Wheat,5.925758903953718
South,Silt,595.4334660854358,25.797948007748808,1,Sunny,114,Maize,Sweet Potato,9.349401745044942
East,Clay,690.3069886750295,21.477862968336773,1,Sunny,123,Wheat,Lentil,5.570131076717875
East,Loam,821.3403753243426,15.635083778225898,1,Sunny,173,Wheat,Chickpea,4.958589976214225
East,Sand,708.6401620069587,21.497022911433113,1,Sunny,114,Maize,Soybean,8.610795922503668
South,Clay,734.8246830804603,21.684443851427197,1,Rainy,99,Soybean,Maize,5.8432798239798025
West,Silt,643.7545632889193,18.23077859225792,1,Sunny,115,Maize,Soybean,8.779018399682757
East,Loam,1394.3653238183501,28.2412135764568,1,Rainy,135,Rice,Chickpea,8.23672503958461
East,Loam,1007.5628749781421,29.712120712319045,1,Rainy,104,Rice,Lentil,8.034767590368553
North,Loam,640.6490748958538,21.014208284492167,1,Sunny,93,Soybean,Barley,6.193180759192726
East,Loam,1580.9320532627976,21.34439508732413,1,Rainy,119,Rice,Chickpea,8.376630445466736
North,Silt,554.3448048604041,24.130060685684846,1,Sunny,99,Maize,Sweet Potato,8.479863418757343
South,Loam,453.9376702208183,24.443903128563697,1,Sunny,187,Wheat,Chickpea,4.900008877192168
North,Clay,537.0933426069839,18.697277214338513,1,Sunny,147,Barley,Lentil,4.440349763803376
North,Loam,771.767331436328,24.92950230226511,1,Sunny,106,Maize,Cowpea,8.557705499644067
West,Clay,550.3974546811617,13.241959079850686,1,Sunny,155,Barley,Pea,4.038376141912703
East,Clay,817.6782465259371,13.251097001361636,1,Sunny,200,Wheat,Mustard,5.249065536532047
South,Loam,425.9076981574816,19.728192357420248,1,Sunny,144,Barley,Pea,3.871587170895817
East,Silt,628.4598844776845,24.458379890923588,1,Sunny,106,Maize,Groundnut,9.119650283156313
West,Sandy Loam,401.7522097399392,23.771822300285763,1,Sunny,164,Barley,Pea,3.9101852847624503
East,Loam,629.3486248462083,22.26656402226988,1,Sunny,128,Soybean,Barley,6.274273049732091
North,Sandy Loam,756.0672895312664,22.71147436500185,1,Rainy,139,Soybean,Sorghum,5.857291539666711
South,Sandy Loam,273.5524941039287,16.9201935053163,1,Sunny,157,Barley,Lentil,4.441832841901899
West,Clay,724.918726351164,29.5762528450538,1,Sunny,118,Soybean,Sorghum,5.925315758114765
South,Silt,635.1112808774556,24.805469960057216,1,Sunny,106,Maize,Potato,9.456122917850523
North,Black Soil,839.5895494855849,26.524160133304175,1,Sunny,154,Cotton,Wheat,7.466958098204854
South,Loam,355.75748662763397,13.855708996481198,1,Sunny,191,Wheat,Chickpea,5.115324844480274
South,Loam,514.4641522099048,23.031283559453286,1,Rainy,134,Soybean,Maize,5.727231294099991
North,Loam,483.3145863948141,15.95472275611425,1,Sunny,142,Wheat,Pea,5.116273761057116
South,Clay,508.564322042995,19.365479708228442,1,Sunny,171,Barley,Pea,3.898331776611221
South,Loam,828.373976085948,33.779743204450696,1,Sunny,179,Cotton,Groundnut,7.595955836424682
South,Loam,629.0111911385661,20.228938249761203,1,Sunny,91,Soybean,Sorghum,6.3217099273977
North,Silt,539.7574018225546,25.758130340453604,1,Sunny,93,Maize,Soybean,9.371062738653972
West,Loam,1952.7975276012944,32.378011511233524,1,Rainy,102,Rice,Lentil,7.599995934173347
North,Sandy Loam,885.2460446356695,25.49529535895017,1,Rainy,121,Soybean,Barley,5.817957995925504
North,Sand,692.2478944070618,19.944343642586396,1,Sunny,119,Maize,Cowpea,8.802225945526802
North,Clay,336.30210501633724,14.752819558651218,1,Sunny,130,Barley,Pea,3.75281578985492
East,Loam,402.39885512999905,11.119447215056226,1,Sunny,147,Wheat,Lentil,4.869384443420568
West,Clay,898.0181123117861,22.209554042590284,1,Sunny,171,Wheat,Mustard,5.1509373002032905
East,Loam,765.9812645721399,22.048061839391902,1,Sunny,118,Maize,Groundnut,8.781889103406217
East,Loam,832.2472562013785,34.63822275482351,1,Sunny,172,Cotton,Groundnut,6.552384357903423
East,Loam,1056.173893873281,26.37109705728999,1,Sunny,156,Cotton,Soybean,6.227322646661131
North,Loam,559.6568833325888,18.581550118596777,1,Sunny,93,Maize,Soybean,8.657695687651197
West,Loam,1149.2377779501762,21.907996440311745,1,Rainy,123,Rice,Mustard,7.895188616315835
North,Loam,427.5143253565159,17.972807989277825,1,Sunny,140,Barley,Pea,4.847419375444162
West,Loam,865.698684847957,22.133251924544922,1,Sunny,167,Wheat,Mustard,5.2096865987725405
West,Loam,830.0528783714815,24.95452103460982,1,Rainy,148,Soybean,Maize,6.2506032669272695
East,Loam,560.0676003268167,27.374337687214854,1,Sunny,112,Soybean,Wheat,5.085852668631561
North,Loam,610.9587511574143,13.369777941386477,1,Sunny,136,Barley,Lentil,3.896174520930348
West,Black Soil,1182.449974602402,34.42315389673193,1,Sunny,168,Cotton,Wheat,6.7669722905196625
South,Silt,1764.372662221736,23.97569642487506,1,Rainy,127,Rice,Green Gram,8.050031702321458
North,Clay,700.410238827857,10.156415490961045,1,Sunny,155,Wheat,Soybean,5.418538034178919
East,Silt,768.7443792115646,20.899939531001657,1,Sunny,93,Maize,Potato,8.588292744620531
North,Loam,1520.7681418342127,29.247495903426252,1,Rainy,100,Rice,Chickpea,8.266351146320547
North,Clay,559.2461297665176,16.591074845416784,1,Sunny,208,Wheat,Pea,5.183768549577213
West,Loam,1886.9249002092695,29.68716218982809,1,Rainy,121,Rice,Chickpea,8.707884335053715
East,Clay,681.642458237895,13.315950571805928,1,Sunny,127,Wheat,Soybean,4.37391803951901
East,Loam,1162.4328398982714,25.431737357970118,1,Sunny,167,Cotton,Groundnut,6.857708683439857
South,Clay,469.77735852922285,13.958789400228406,1,Sunny,163,Barley,Lentil,4.171601460371798
West,Loam,478.5290707912924,18.47532989288524,1,Sunny,148,Wheat,Soybean,5.397412891022405
South,Loam,722.513618453879,25.933057017075193,1,Sunny,93,Maize,Groundnut,9.201565284560449
North,Sandy Loam,584.0566227576292,22.59653899824478,1,Sunny,146,Barley,Chickpea,4.063144014322582
West,Clay,303.13776812574764,21.414861400421408,1,Sunny,173,Wheat,Soybean,4.9482143428964696
North,Loam,703.5136468565426,24.806381921023075,1,Sunny,112,Maize,Groundnut,9.364643868134097
West,Silt,1886.1957804650747,28.895665012801764,1,Rainy,126,Rice,Chickpea,8.108239987345431
South,Silt,1166.885117854871,22.71978919888258,1,Rainy,134,Rice,Mustard,8.276589595296794
South,Loam,1064.8535944829684,28.69975681142197,1,Rainy,144,Rice,Mustard,8.164147761012625
South,Silt,680.6436932157443,18.20639530141238,1,Sunny,108,Maize,Soybean,8.785490387198397
West,Silt,1981.9691904461451,23.147629922846143,1,Rainy,153,Rice,Green Gram,7.587651524661775
East,Loam,353.16025780777034,13.309179290668169,1,Sunny,166,Wheat,Lentil,5.0330593405342
North,Clay,681.7064188249396,21.78477427120348,1,Sunny,134,Wheat,Soybean,4.95570522316023
North,Clay,1979.6467150338835,22.479411664552618,1,Rainy,159,Rice,Lentil,8.712198862727023
